vehicle_id,vehicle_type,firmware_version
1101021407,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101021037,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101021051,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101019306,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101019909,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101020153,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101019297,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101021073,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101019972,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101021390,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101021060,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101021399,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101019837,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101020261,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101019278,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101037863,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101019387,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101020243,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101019906,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101019855,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101019545,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101022148,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101019896,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101019901,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101021115,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101019273,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101019380,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101019862,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101019964,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101019840,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101052277,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101019920,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101020150,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101020253,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101019865,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101019868,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101051779,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101019370,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1101052192,sitdown scooter,XsTebr9octdjZFBf/yXImg==
1001019541,sitdown scooter,YiR+0ZXfK3B2F4vdOIrjJw==
1101020334,sitdown scooter,aPo+eUvfBW8oFEfdZ9Urmg==
1001014497,sitdown scooter,a2TkxcenA08Ltt7FUN4GDA==
1001043906,sitdown scooter,e5WJciYfO7KtbE/PkvkIwA==
1001043933,sitdown scooter,e5WJciYfO7KtbE/PkvkIwA==
1001043648,sitdown scooter,jxBTOqpzAJY+BkaEjfK53g==
1001015171,sitdown scooter,jxBTOqpzAJY+BkaEjfK53g==
1001048710,sitdown scooter,jxBTOqpzAJY+BkaEjfK53g==
1001021387,sitdown scooter,jxBTOqpzAJY+BkaEjfK53g==
1001016850,sitdown scooter,jxBTOqpzAJY+BkaEjfK53g==
1101032661,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101019885,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101032888,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101021911,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101032832,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101019891,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101020186,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101020164,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101019322,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101019911,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101037644,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101037664,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101037833,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101019907,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101021708,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101021413,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101021111,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101037886,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101019264,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101019378,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101022080,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101021405,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101019829,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101019831,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101037872,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101037637,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101019931,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101037660,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101019955,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101019962,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101037659,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101037625,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101019881,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101021059,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101020208,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101019276,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101037694,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101019400,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101037662,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101019399,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101037652,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101019312,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101037657,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101032886,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101019873,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101019407,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101019231,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101021089,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101037658,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101020191,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101021084,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101032841,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101019373,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101021039,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101021103,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101019343,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101032851,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101020258,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101019383,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101032893,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101053436,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101019184,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101019345,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101032855,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101032891,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101037667,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101020279,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101019239,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
